N,dx,T_CN,T_SSF,error_CN,error_SSF,norm_CN,norm_SSF,runtime_CN,runtime_SSF
250,0.2409638554216862,0.005970860929472654,0.02480850844999628,0.019345773644888604,0.0005081261243649778,1.0000000000000544,1.0000000000000118,0.12406110763549805,0.029806852340698242
500,0.1202404809619253,0.021955509836841944,0.029733614952267905,0.003361124737519313,0.004416980377906648,1.0000000000000295,1.0000000000000668,0.21635222434997559,0.04658699035644531
1000,0.06006006006006004,0.022581526159241923,0.02927852770941316,0.0027351084151193347,0.003961893135051901,1.0000000000001354,1.0000000000000653,0.16970491409301758,0.0877218246459961
2000,0.030015007503752855,0.027375542314092404,0.03628648530049019,0.0020589077397311466,0.010969850726128931,1.0000000000002283,1.0000000000000235,0.642697811126709,0.15647077560424805
4000,0.015003750937733429,0.026246152606656612,0.03499500474853781,0.0009295180322953546,0.009678370174176554,0.9999999999996372,1.0000000000000244,0.7313392162322998,0.29008936882019043
