a,T_numerical,T_analytical
0.2,0.7004203549086978,0.7222045715391993
0.4,0.28674862194561507,0.3487497162924958
0.6,0.13279387031039502,0.1489066317561483
0.8,0.06139666482786928,0.061657143288986804
1.0,0.022581526159241923,0.025316634574361258
1.2,0.010982790324184047,0.010367135636829757
1.4,0.005506915603277442,0.004241193787334946
1.5999999999999999,0.0023230737470828606,0.0017344170818662584
1.7999999999999998,0.0012777982205423434,0.0007091751352433437
1.9999999999999998,0.0007345996254992449,0.0002899525623453324
2.1999999999999997,0.000373647299569877,0.00011854673791420894
2.4,0.00023378428847826302,4.8467191977666534e-05
2.6,0.00014975951519192245,1.9815466904613448e-05
2.8,8.466331400603119e-05,8.10139905845664e-06
3.0,5.594054143686528e-05,3.3121915101421674e-06
