E,T_numerical,T_analytical
2.0,7.527165754312418e-07,6.885907435067147e-05
3.0,4.842326679031724e-06,0.00014224170043444778
4.0,2.2665675120160277e-05,0.00026381861327410443
5.0,7.823828454803702e-05,0.0004638434042023858
6.0,0.00021870283740045072,0.0007926023509885206
7.0,0.0005284102099498098,0.0013349988585130315
8.0,0.0011516684517955287,0.00223706790845017
9.0,0.0023419648392890417,0.0037555033429539867
10.0,0.004559307555745373,0.006352984947922031
11.0,0.008669975856346641,0.010887668537914254
12.0,0.01638705384789697,0.019002338748297848
13.0,0.0312221138963003,0.033946146202368466
14.0,0.06044945833705736,0.0623254878401633
15.0,0.1183044702062565,0.11764705882352941
16.0,0.22680460645714054,0.22572698486032497
17.0,0.4021885349587373,0.4223144662183807
18.0,0.6223165521132406,0.7021418125741026
19.0,0.8159978097028627,0.934365884455655
20.0,0.9174436341287542,0.9997594156267182
21.0,0.9255164135818758,0.9570786523911958
22.0,0.887508102176893,0.8956764776423655
23.0,0.846854058867306,0.8509961734231494
24.0,0.8224533372590728,0.8284615831606271
25.0,0.816823748898302,0.824905121919612
