V0,T_numerical,T_analytical
0.5,0.8784185395330334,0.9995978342340238
1.5208333333333333,0.8719831949344837,0.9958072781844097
2.5416666666666665,0.8613624406736061,0.9879639549193251
3.5625,0.8480668984148384,0.9782447071047982
4.583333333333333,0.8355687311816998,0.9715376692474595
5.604166666666666,0.8272321557829669,0.9739933824157023
6.625,0.8206497195957199,0.9882292854338417
7.645833333333333,0.7976417849849117,0.9998400726666432
8.666666666666666,0.7213581924592837,0.9506016470974048
9.6875,0.5683243650674467,0.7556700150800224
10.708333333333332,0.37446105926639334,0.46475037518424434
11.729166666666666,0.20922096664178264,0.23829359088979113
12.75,0.10554602377494278,0.11545826118902865
13.770833333333332,0.051755903953391795,0.05671003591796181
14.791666666666666,0.02589335296334996,0.02890399310301267
15.812499999999998,0.013457771864621848,0.01534142978384802
16.833333333333332,0.007279426300292186,0.008456272149718612
17.854166666666664,0.004083694161618785,0.0048201333438755095
18.875,0.0023655835059288137,0.002829505805464344
19.895833333333332,0.0014092855626097738,0.0017043587292985907
20.916666666666664,0.0008604838191213135,0.0010502207114646783
21.9375,0.0005369421317334903,0.0006603214480173734
22.958333333333332,0.0003416052373605316,0.00042271867146853804
23.979166666666664,0.00022114556267504172,0.0002750306757585155
25.0,0.00014543714040771396,0.00018158323094380672
